Date,Open,High,Low,Close,Adj Close,Volume
2023-10-19,6450.000000,6550.000000,6425.000000,6475.000000,6475.000000,5575000
2023-10-20,6475.000000,6500.000000,6350.000000,6400.000000,6400.000000,3398000
2023-10-23,6425.000000,6450.000000,6225.000000,6275.000000,6275.000000,5652500
2023-10-24,6275.000000,6375.000000,6275.000000,6325.000000,6325.000000,2349700
2023-10-25,6350.000000,6450.000000,6350.000000,6400.000000,6400.000000,3014600
2023-10-26,6400.000000,6400.000000,6150.000000,6250.000000,6250.000000,6081400
2023-10-27,6300.000000,6300.000000,6175.000000,6175.000000,6175.000000,3376200
2023-10-30,6150.000000,6175.000000,6025.000000,6100.000000,6100.000000,3971400
2023-10-31,6100.000000,6175.000000,6000.000000,6100.000000,6100.000000,5559900
2023-11-01,6175.000000,6225.000000,6000.000000,6050.000000,6050.000000,8358700
2023-11-02,6125.000000,6300.000000,6125.000000,6250.000000,6250.000000,6474600
2023-11-03,6300.000000,6350.000000,6175.000000,6200.000000,6200.000000,4991900
2023-11-06,6250.000000,6500.000000,6250.000000,6475.000000,6475.000000,8153900
2023-11-07,6475.000000,6500.000000,6400.000000,6450.000000,6450.000000,5863100
2023-11-08,6500.000000,6500.000000,6300.000000,6350.000000,6350.000000,9556800
2023-11-09,6375.000000,6500.000000,6375.000000,6375.000000,6375.000000,4695800
2023-11-10,6375.000000,6375.000000,6250.000000,6275.000000,6275.000000,2995900
2023-11-13,6275.000000,6375.000000,6250.000000,6350.000000,6350.000000,1826700
2023-11-14,6325.000000,6375.000000,6225.000000,6225.000000,6225.000000,2158400
2023-11-15,6300.000000,6350.000000,6225.000000,6275.000000,6275.000000,3832600
2023-11-16,6275.000000,6350.000000,6225.000000,6275.000000,6275.000000,3552100
2023-11-17,6275.000000,6625.000000,6275.000000,6625.000000,6625.000000,9220400
2023-11-20,6625.000000,6725.000000,6550.000000,6700.000000,6700.000000,8561000
2023-11-21,6700.000000,6700.000000,6550.000000,6625.000000,6625.000000,3785000
2023-11-22,6625.000000,6625.000000,6375.000000,6450.000000,6450.000000,5365200
2023-11-23,6475.000000,6550.000000,6450.000000,6450.000000,6450.000000,3894100
2023-11-24,6550.000000,6550.000000,6400.000000,6425.000000,6425.000000,1115600
2023-11-27,6400.000000,6575.000000,6400.000000,6500.000000,6500.000000,3589300
2023-11-28,6525.000000,6575.000000,6400.000000,6400.000000,6400.000000,3992100
2023-11-29,6400.000000,6475.000000,6350.000000,6400.000000,6400.000000,2618000
2023-11-30,6400.000000,6500.000000,6300.000000,6500.000000,6500.000000,12981100
2023-12-01,6425.000000,6650.000000,6400.000000,6550.000000,6550.000000,7693300
2023-12-04,6550.000000,6625.000000,6450.000000,6450.000000,6450.000000,3688400
2023-12-05,6425.000000,6475.000000,6300.000000,6375.000000,6375.000000,4266500
2023-12-06,6375.000000,6450.000000,6350.000000,6425.000000,6425.000000,3683400
2023-12-07,6400.000000,6425.000000,6225.000000,6300.000000,6300.000000,5695700
2023-12-08,6300.000000,6325.000000,6250.000000,6300.000000,6300.000000,2601700
2023-12-11,6250.000000,6300.000000,6075.000000,6125.000000,6125.000000,8210100
2023-12-12,6150.000000,6275.000000,6125.000000,6175.000000,6175.000000,3726500
2023-12-13,6225.000000,6250.000000,6125.000000,6225.000000,6225.000000,2625800
2023-12-14,6200.000000,6275.000000,6175.000000,6175.000000,6175.000000,3743900
2023-12-15,6200.000000,6225.000000,6125.000000,6200.000000,6200.000000,6326000
2023-12-18,6200.000000,6200.000000,6125.000000,6125.000000,6125.000000,4222700
2023-12-19,6150.000000,6175.000000,6100.000000,6175.000000,6175.000000,2738700
2023-12-20,6150.000000,6275.000000,6150.000000,6225.000000,6225.000000,3960700
2023-12-21,6200.000000,6275.000000,6150.000000,6150.000000,6150.000000,5001700
2023-12-22,6150.000000,6325.000000,6150.000000,6275.000000,6275.000000,6519900
2023-12-27,6300.000000,6350.000000,6250.000000,6275.000000,6275.000000,1616900
2023-12-28,6275.000000,6325.000000,6250.000000,6275.000000,6275.000000,2850700
2023-12-29,6275.000000,6450.000000,6225.000000,6400.000000,6400.000000,7400100
2024-01-02,6400.000000,6475.000000,6350.000000,6475.000000,6475.000000,2082000
2024-01-03,6475.000000,6475.000000,6400.000000,6425.000000,6425.000000,2195500
2024-01-04,6425.000000,6550.000000,6375.000000,6475.000000,6475.000000,3422700
2024-01-05,6475.000000,6550.000000,6350.000000,6375.000000,6375.000000,6862900
2024-01-08,6375.000000,6375.000000,6250.000000,6250.000000,6250.000000,3444200
2024-01-09,6275.000000,6350.000000,6250.000000,6300.000000,6300.000000,3325900
2024-01-10,6300.000000,6425.000000,6300.000000,6325.000000,6325.000000,2805100
2024-01-11,6325.000000,6425.000000,6250.000000,6250.000000,6250.000000,4454500
2024-01-12,6275.000000,6300.000000,6225.000000,6275.000000,6275.000000,6964200
2024-01-15,6275.000000,6350.000000,6225.000000,6275.000000,6275.000000,10243600
2024-01-16,6275.000000,6275.000000,6175.000000,6175.000000,6175.000000,5540200
2024-01-17,6175.000000,6200.000000,6050.000000,6075.000000,6075.000000,8261700
2024-01-18,6075.000000,6125.000000,6025.000000,6050.000000,6050.000000,6687800
2024-01-19,6050.000000,6100.000000,6025.000000,6050.000000,6050.000000,3927900
